Source types: {}
Target types: {}
Src (score): 
		 Property: title; First score: 0.3333333333333333; Second score: 2.6978505187429582; Combined: 0.5933546430261326; Selected
		 Property: authors; First score: 0.3333333333333333; Second score: 2.1372537270420935; Combined: 0.5767195339441089; Selected
		 Property: venue; First score: 0.3333333333333333; Second score: 0.005372684142708243; Combined: 0.010574921151867402
Tgt (score): 
		 Property: title; First score: 0.3650190114068441; Second score: 3.136090920692447; Combined: 0.6539256577223478; Selected
		 Property: authors; First score: 0.3643852978453739; Second score: 3.128704715608163; Combined: 0.6527481371944157; Selected
		 Property: venue; First score: 0.270595690747782; Second score: 1.7685170576338705; Combined: 0.46937384427563134
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.85; Sing.: 0.5708; P: 0.002874877491016008; R: 0.008228913409388442; F1: 0.004261088514429595; Conf.: 0.08518673940411246; Links: 15305
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.86; Sing.: 0.5639; P: 0.0024328209664934205; R: 0.008228913409388442; F1: 0.003755387701105279; Conf.: 0.08518673940411246; Links: 18086
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.87; Sing.: 0.5574; P: 0.0020752759173662864; R: 0.008228913409388442; F1: 0.003314625786281969; Conf.: 0.08518673940411246; Links: 21202
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.88; Sing.: 0.5507; P: 0.0017464475668810034; R: 0.008228913409388442; F1: 0.002881372581120461; Conf.: 0.08518673940411246; Links: 25194
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.89; Sing.: 0.5446; P: 0.0014886994180538639; R: 0.008228913409388442; F1: 0.0025212732429877086; Conf.: 0.08518673940411246; Links: 29556
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.9; Sing.: 0.5387; P: 0.0012779923901362223; R: 0.008228913409388442; F1: 0.0022123893805309734; Conf.: 0.08518673940411246; Links: 34429
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.91; Sing.: 0.5333; P: 0.0011050556295049852; R: 0.008228913409388442; F1: 0.0019484545213001505; Conf.: 0.08518673940411246; Links: 39817
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.92; Sing.: 0.5282; P: 9.629062260641208E-4; R: 0.008228913409388442; F1: 0.0017240703734179696; Conf.: 0.08518673940411246; Links: 45695
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.93; Sing.: 0.5234; P: 8.430410790925812E-4; R: 0.008228913409388442; F1: 0.0015293974521628808; Conf.: 0.08518673940411246; Links: 52192
Src. prop.: title; Tgt. prop.: title; Src. trans.: transformations.Void; Tgt. trans.: transformations.Void; Metric: info.debatty.java.stringsimilarity.SorensenDice; Threshold: 0.94; Sing.: 0.5193; P: 7.477143731094722E-4; R: 0.008228913409388442; F1: 0.0013708659822722104; Conf.: 0.08518673940411246; Links: 58846
